,train_loss,val_loss,train_acc,val_acc
0,1.88697115858649,1.7336212575435639,0.300075,0.3677
1,1.5114357471466064,1.40354021191597,0.446575,0.4884
2,1.2706700138225677,1.4993526130914687,0.54195,0.4902
3,1.1093391578668241,1.3076051265001296,0.6104,0.5411
4,0.9978840259989356,1.215810951590538,0.647725,0.5787
5,0.89256933046754,1.0413975894451142,0.686175,0.6366
6,0.8335665616260213,0.9586790502071381,0.7078,0.6608
7,0.7838933980389006,0.9830384969711303,0.72625,0.6662
8,0.737795240560155,0.8676354482769966,0.7419,0.6994
9,0.7095337548073689,0.7985275238752365,0.752475,0.7227
10,0.673263287468321,0.876293009519577,0.764975,0.6939
11,0.6394962332430919,0.8183711335062981,0.778025,0.7209
12,0.623940067116622,0.9114228129386902,0.784175,0.6985
13,0.5956334820978201,0.8092506304383278,0.7913,0.727
14,0.48441998252443447,0.6530774489045144,0.835375,0.7741
15,0.4436212941339821,0.6269811980426312,0.8489,0.7811
16,0.42899300262426876,0.643402424454689,0.8523,0.7829
17,0.4208762520437787,0.6319146923720836,0.85525,0.7871
18,0.4173835787423857,0.6485230505466462,0.8578,0.7844
19,0.4039872713909028,0.6508211962878704,0.86215,0.7796
20,0.38552812235370565,0.6428506702184678,0.8705,0.788
21,0.3844585618016067,0.6255091235041619,0.869075,0.7907
22,0.37905172557587835,0.6321722976863384,0.871425,0.7935
23,0.38732087308434165,0.6377727352082729,0.86925,0.7884
24,0.37947086410917297,0.6341224074363708,0.87065,0.7902
25,0.375549789446934,0.6353330209851265,0.8733,0.786
